level_0,index,ts,T,H,PMS1,PMS2_5,PMS10,CO2,NO2,CO,VoC,C2H5OH,ID,Loc,Customer,Ph,Valid,Valid_CO2,bkps
2215,2215,2023-06-22 00:36:55,22.4583,33.8917,8.1667,13.0667,14.7,773.3833,351.1667,112.7,447.5333,534.9167,121.0,Study Desk,A5,XXXX,1,1,0
2216,2216,2023-06-22 00:36:56,22.9167,34.5833,8.3333,13.3333,15.0,789.1667,358.3333,115.0,456.6667,545.8333,121.0,Study Desk,A5,XXXX,1,1,0
2217,2217,2023-06-22 00:36:57,23.375,35.275,8.5,13.6,15.3,804.95,365.5,117.3,465.8,556.75,121.0,Study Desk,A5,XXXX,1,1,0
2218,2218,2023-06-22 00:36:58,23.8333,35.9667,8.6667,13.8667,15.6,820.7333,372.6667,119.6,474.9333,567.6667,121.0,Study Desk,A5,XXXX,1,1,0
2219,2219,2023-06-22 00:36:59,24.2917,36.6583,8.8333,14.1333,15.9,836.5167,379.8333,121.9,484.0667,578.5833,121.0,Study Desk,A5,XXXX,1,1,0
2220,2220,2023-06-22 00:37:00,24.75,37.35,9.0,14.4,16.2,852.3,387.0,124.2,493.2,589.5,121.0,Study Desk,A5,XXXX,1,1,0
2221,2221,2023-06-22 00:37:01,25.2083,38.0417,9.1667,14.6667,16.5,868.0833,394.1667,126.5,502.3333,600.4167,121.0,Study Desk,A5,XXXX,1,1,0
2222,2222,2023-06-22 00:37:02,25.6667,38.7333,9.3333,14.9333,16.8,883.8667,401.3333,128.8,511.4667,611.3333,121.0,Study Desk,A5,XXXX,1,1,0
2223,2223,2023-06-22 00:37:03,26.125,39.425,9.5,15.2,17.1,899.65,408.5,131.1,520.6,622.25,121.0,Study Desk,A5,XXXX,1,1,0
2224,2224,2023-06-22 00:37:04,26.5833,40.1167,9.6667,15.4667,17.4,915.4333,415.6667,133.4,529.7333,633.1667,121.0,Study Desk,A5,XXXX,1,1,0
2225,2225,2023-06-22 00:37:05,27.0417,40.8083,9.8333,15.7333,17.7,931.2167,422.8333,135.7,538.8667,644.0833,121.0,Study Desk,A5,XXXX,1,1,0
2226,2226,2023-06-22 00:37:06,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2227,2227,2023-06-22 00:37:07,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2228,2228,2023-06-22 00:37:08,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2229,2229,2023-06-22 00:37:09,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2230,2230,2023-06-22 00:37:10,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2231,2231,2023-06-22 00:37:11,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2232,2232,2023-06-22 00:37:12,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2233,2233,2023-06-22 00:37:13,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2234,2234,2023-06-22 00:37:14,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2235,2235,2023-06-22 00:37:15,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2236,2236,2023-06-22 00:37:16,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2237,2237,2023-06-22 00:37:17,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2238,2238,2023-06-22 00:37:18,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2239,2239,2023-06-22 00:37:19,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2240,2240,2023-06-22 00:37:20,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2241,2241,2023-06-22 00:37:21,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2242,2242,2023-06-22 00:37:22,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
